Siliguri,West Bengal,10,5,0,Sevoke Road
Silvassa,Dadra and Nagar Haveli,1,0,0,Silvassa Town Centre
Sirsa,Haryana,1,0,0,Station Road Sirsa
Sitapur,Uttar Pradesh,1,0,0,Civil Lines Sitapur
Solan,Himachal Pradesh,1,0,0,The Mall Solan
Solapur,Maharashtra,3,0,0,Hutatma Chowk
Solim,Goa,1,1,0,Solim Town Centre
Sonipat,Haryana,5,1,2,Atlas Road
Sri Ganganagar,Rajasthan,1,2,0,Purani Abadi
Sundarnagar,Himachal Pradesh,1,0,0,Sundarnagar Bus Stand
Surat,Gujarat,11,6,13,Chowk Bazar
Taleigao,Goa,1,1,0,Taleigao Circle
Test City,Karnataka,0,0,1,City Centre
Thane,Maharashtra,15,14,0,Thane Station Road
Thanesar,Haryana,2,2,0,Kurukshetra Bus Stand
Thanjavur,Tamil Nadu,0,2,0,Old Bus Stand
Thiruvananthapuram,Kerala,2,12,0,Chalai Bazaar
Thrissur,Kerala,2,8,0,Shakthan Thampuran Nagar
Tiruchirappalli,Tamil Nadu,1,3,0,Chinthamani
Tirunelveli,Tamil Nadu,0,2,0,Palayamkottai
Tirupati,Andhra Pradesh,2,2,0,Alipiri
Tiruppur,Tamil Nadu,0,2,0,Kumaran Road
Tiruvallur,Tamil Nadu,0,1,0,Tiruvallur Bus Stand
Titagarh,West Bengal,1,0,0,Titagarh Station Road
Tumakuru,Karnataka,1,1,0,SS Puram
Tumkuru,Karnataka,0,0,1,SS Puram Tumkuru
Udaipur,Rajasthan,7,3,4,Chetak Circle
Udupi,Karnataka,1,1,0,City Centre Udupi
Ujjain,Madhya Pradesh,2,2,0,Freeganj
Ulhasnagar,Maharashtra,1,1,0,Camp 3 Ulhasnagar
Ullal,Karnataka,0,2,0,Ullal Town Centre
Una,Himachal Pradesh,1,0,0,Una Bus Stand
Unnao,Uttar Pradesh,1,0,0,Civil Lines Unnao
Uran,Maharashtra,2,1,0,Uran Town Centre
Utran,Gujarat,2,2,0,Utran Power House
Vadodara,Gujarat,15,5,0,Mandvi
Vadodra,Gujarat,0,0,6,Vadodara Station Road
Vagator,Goa,1,1,0,Vagator Beach
Vaghodia,Gujarat,1,0,0,Vaghodia Road
Valsad,Gujarat,1,0,1,Station Road Valsad
Vapi,Gujarat,2,2,0,Vapi GIDC
Varanasi,Uttar Pradesh,8,5,3,Godowlia Chowk
Vasco Da Gama,Goa,1,1,0,Vasco Station Road
Vellore,Tamil Nadu,1,2,2,Katpadi Junction
Vijayapura,Karnataka,1,0,0,Station Road Vijayapura
Vijayawada,Andhra Pradesh,7,7,6,Benz Circle
Virar,Maharashtra,8,4,0,Virar Station Road
Visakhapatnam,Andhra Pradesh,15,11,0,Jagadamba Junction
Visnagar,Gujarat,1,0,0,Visnagar Town Centre
Vizianagaram,Andhra Pradesh,1,1,0,Fort Junction
Vrindavan,Uttar Pradesh,2,0,0,Banke Bihari Temple Road
Warangal,Telangana,3,4,3,Hanamkonda
Wardha,Maharashtra,1,0,0,Wardha Station Road
Yamunanagar,Haryana,2,0,0,Jagadhri Road
Yavatmal,Maharashtra,1,0,0,Yavatmal Town Centre
